Material,Crystal Structure,Bending Strength (MPa),Bending Strain (%),zT,Heat Treatment Process,,,,,,,,
Ag0.993CuSe0.22S0.08Te0.7,orthorhombic crystal structure,324,2.8,0.45,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.99CuSe0.22S0.08Te0.7,orthorhombic crystal structure,182,2,0.42,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.2S0.1Te0.7,orthorhombic crystal structure,261,5.1,0.32,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.1S0.2Te0.7,multiphase crystal structure,165,1,0.05,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuS0.3Te0.7,multiphase crystal structure,114,0.6,0.04,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.2Te0.8,orthorhombic crystal structure,,,0.35,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.12S0.08Te0.8,orthorhombic crystal structure,249,14.1,0.3,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.1Te0.9,multiphase crystal structure,,,0.09,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.02S0.08Te0.9,multiphase crystal structure,322,2.6,0.02,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.93Cu1.07S,orthorhombic crystal structure,171,1,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.93Cu1.07S0.98Te0.02,orthorhombic crystal structure,202,2,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.93Cu1.07S0.97Te0.03,orthorhombic crystal structure,311,8.1,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.93Cu1.07S0.96Te0.04,orthorhombic and amorphous mixed crystal structure,203,13.1,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.93Cu1.07S0.95Te0.05,orthorhombic and amorphous mixed crystal structure,217,10.1,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.93Cu1.07S0.94Te0.06,orthorhombic and amorphous mixed crystal structure,152,2.3,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.93Cu1.07S0.93Te0.07,orthorhombic and amorphous mixed crystal structure,169,1.6,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag2S0.7Se0.3,monoclinic crystal structure,110,10,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag1.8Cu0.2S0.7Se0.3,monoclinic crystal structure,66,10,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag1.6Cu0.4S0.7Se0.3,monoclinic crystal structure,67,10,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag1.4Cu0.6S0.7Se0.3,monoclinic crystal structure,118,2.8,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag1.2Cu0.8S0.7Se0.3,monoclinic crystal structure,165,2.9,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuS0.7Se0.3,monoclinic crystal structure,153,2.8,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.8Cu1.2S0.7Se0.3,multiphase crystal structure,125,10,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.6Cu1.4S0.7Se0.3,multiphase crystal structure,183,10,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.4Cu1.6S0.7Se0.3,hexagonal crystal structure,318,10,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.4Cu1.59S0.7Se0.3,hexagonal crystal structure,271,10,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.4Cu1.58S0.7Se0.3,hexagonal crystal structure,302,10,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.4Cu1.57S0.7Se0.3,hexagonal crystal structure,361,10,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.4Cu1.56S0.7Se0.3,hexagonal crystal structure,408,10,0.01,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag0.2Cu1.8S0.7Se0.3,hexagonal crystal structure,151,0.7,,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 1320 K over a period of 30 h with a dwell time of 10 h and then cooled down to 720 K over a period of 20 h. After a dwell time of 10 h at 720 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
Ag2S0.05Te0.95,monoclinic crystal structure,92.4,0.5,0.24,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag2S0.1Te0.9,amorphous and monoclinic mixed crystal structure,333.2,7,0.17,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag2S0.15Te0.85,amorphous and monoclinic mixed crystal structure,208.2,10.2,0.13,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag2S0.2Te0.8,amorphous and monoclinic crystal structure,288.9,15,0.2,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag2S0.3Te0.7,"amorphous, monoclinic and cubic crystal structure",76.7,15,0.23,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag2S0.4Te0.6,"amorphous, monoclinic and cubic crystal structure",88.1,15,0.35,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag2S0.5Te0.5,amorphous and cubic mixed crystal structure,128.9,15,0.25,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.995S0.1Te0.9,amorphous and monoclinic mixed crystal structure,384.1,1.7,0.64,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.995S0.2Te0.8,amorphous and monoclinic mixed crystal structure,234.1,1.1,0.24,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.995S0.3Te0.7,amorphous and monoclinic mixed crystal structure,142.66,2.1,0.57,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.998Au0.002S0.5Te0.5,amorphous and cubic mixed crystal structure,107.5,15,0.25,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.995Au0.005S0.5Te0.5,amorphous and cubic mixed crystal structure,121.3,15,0.26,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.99Au0.01S0.5Te0.5,amorphous and cubic mixed crystal structure,74.1,15,0.43,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.97Au0.03S0.5Te0.5,amorphous and cubic mixed crystal structure,82.6,15,0.44,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.995Cu0.005S0.5Te0.5,amorphous and cubic mixed crystal structure,107,15,0.28,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.99Cu0.01S0.5Te0.5,amorphous and cubic mixed crystal structure,88.27,15,0.24,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.97Cu0.03S0.5Te0.5,amorphous and cubic mixed crystal structure,125.3,15,0.24,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.998Au0.002S0.3Te0.7,,126.3,15,0.42,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.995Au0.005S0.3Te0.7,"amorphous, monoclinic and cubic crystal structure",118.3,15,0.42,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.99Au0.01S0.3Te0.7,"amorphous, monoclinic and cubic crystal structure",139.34,15,0.38,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.97Au0.03S0.3Te0.7,"amorphous, monoclinic and cubic crystal structure",106.1,15,0.29,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.95Au0.05S0.3Te0.7,"amorphous, monoclinic and cubic crystal structure",214.5,15,0.09,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.995Cu0.005S0.3Te0.7,"amorphous, monoclinic and cubic crystal structure",72.1,15,0.2,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.99Cu0.01S0.3Te0.7,"amorphous, monoclinic and cubic crystal structure",66.9,15,0.2,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag1.97Cu0.03S0.3Te0.7,"amorphous, monoclinic and cubic crystal structure",80.4,15,0.2,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were  placed in a vertical furnace and heated to 1,323 K in 15 h and held at this temperature for 48 h, then cooled down to 823 K in 34 h. After annealing at this temperature for 72 h, the furnace was cooled to 393 K and held at this temperature for 10 h. Then, the furnace was cooled to room temperature.",,,,,,,,
Ag2Se0.3S0.7,monoclinic crystal structure,157,15,0.08,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.299I0.001S0.7,monoclinic crystal structure,122,15,0.24,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.295I0.005S0.7,monoclinic crystal structure,129,15,0.27,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.29I0.01S0.7,monoclinic crystal structure,139,15,0.24,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.61S0.39,monoclinic crystal structure,158,15,0.15,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.62S0.38,monoclinic crystal structure,172,15,0.22,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.63S0.37,monoclinic crystal structure,244,15,0.17,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.64S0.36,monoclinic crystal structure,110,15,0.52,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.65S0.35,monoclinic crystal structure,215,15,0.46,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
Ag2Se0.66S0.34,orthorhombic crystal structure,220,15,0.54,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The quartz tubes were placed in a vertical furnace, heated to 1273 K and held at this temperature for 12 h. Then, the tubes were slowly cooled to 723 K in 27.5 h, dwelled for 72 h. Finally, the tubes were cooled to room temperature in 22.5 h.",,,,,,,,
